NEWJOB,1535700834461
0,1083
1,1009
2,1002
3,1002
4,1003
5,1002
6,1003
7,1003
8,1002
9,1003
10,1002
11,1003
12,1002
13,1002
14,1002
15,1003
16,1003
17,1002
18,1002
19,1002
20,1003
21,1002
22,1002
23,1001
24,1003
25,1002
26,1001
27,1001
28,1002
29,1001
30,1001
31,1002
32,1002
33,1001
34,1002
35,1004
36,1003
37,1001
38,1002
39,1003
40,1003
41,1002
42,1002
43,1003
44,1002
45,1004
46,1003
47,1002
48,1002
49,1003
50,1002
51,1001
52,1002
53,1003
54,1002
55,1003
56,1001
57,1002
58,1003
59,1002
60,1002
61,1002
62,1005
64,1003
63,1255
65,1001
66,1010
67,1002
68,1002
69,1002
70,1001
71,1003
72,1001
73,1002
74,1002
75,1002
76,1002
77,1001
78,1002
79,1002
80,1002
81,1002
82,1002
83,1002
84,1001
85,1002
86,1001
87,1002
88,1006
89,1001
90,1002
91,1002
92,1001
93,1002
94,1001
95,1002
96,1001
97,1002
98,1004
99,1002
AVG_LATENCY,1005
